property_id,state,city,price,area_sqft,bedrooms,bathrooms,lot_size_acres,year_built,rental_income,mainroad_access,airconditioning,garage_parking,school_rating,walkability_score,preferred_area,tax_rate,maintenance_cost
56,Illinois,Springfield,248432.0,1264.0,3.0,,3.94,1970,714.0,Yes,No,1.0,8.0,41.0,No,,6910.0
57,Nevada,Reno,1278879.0,2574.0,2.0,1.0,4.43,1975,3997.0,No,Yes,3.0,10.0,66.0,Yes,1.16,
58,California,San Diego,1535343.0,3537.0,,1.0,3.92,2006,4036.0,Yes,No,0.0,5.0,42.0,No,1.04,1230.0
59,California,San Francisco,2306335.0,,3.0,,3.09,1970,5247.0,Yes,Yes,2.0,3.0,22.0,No,2.37,4538.0
60,Arizona,Mesa,1058126.0,4203.0,2.0,4.0,2.44,1993,4151.0,Yes,Yes,3.0,8.0,61.0,Yes,0.95,5886.0
61,Texas,Houston,,2367.0,5.0,3.0,0.58,1985,2085.0,No,Yes,1.0,3.0,32.0,No,0.84,5144.0
62,New York,New York City,3509785.0,2528.0,1.0,2.0,3.27,1971,12618.0,No,No,3.0,6.0,30.0,No,2.94,1665.0
63,Florida,Orlando,488087.0,866.0,5.0,1.0,2.41,1981,1736.0,No,Yes,1.0,10.0,38.0,No,0.59,5903.0
64,Arizona,Tucson,371693.0,3468.0,1.0,2.0,1.97,2017,961.0,No,Yes,0.0,4.0,27.0,No,2.76,3154.0
65,Florida,Miami,1684096.0,2476.0,4.0,2.0,2.72,2007,8025.0,Yes,No,,4.0,100.0,No,2.61,4095.0
66,California,Los Angeles,4550893.0,2362.0,4.0,1.0,3.67,2015,18858.0,No,Yes,,6.0,54.0,No,0.8,6551.0
67,Nevada,Carson City,550126.0,2801.0,4.0,2.0,4.37,2003,1702.0,Yes,Yes,2.0,9.0,43.0,Yes,0.7,6074.0
68,Arizona,Phoenix,430848.0,4788.0,3.0,1.0,0.21,1951,1559.0,Yes,No,0.0,5.0,9.0,No,2.67,6273.0
69,Florida,Tampa,,2099.0,3.0,1.0,3.66,1993,,No,Yes,2.0,9.0,19.0,Yes,1.98,4258.0
70,Nevada,Carson City,486197.0,1623.0,3.0,3.0,4.77,2012,2079.0,No,Yes,0.0,10.0,24.0,No,1.26,1661.0
71,Florida,Miami,,1693.0,2.0,1.0,2.09,1966,3775.0,Yes,No,1.0,10.0,96.0,No,0.95,2466.0
72,Georgia,Augusta,367669.0,3682.0,1.0,3.0,2.3,1958,824.0,No,Yes,3.0,5.0,89.0,Yes,2.69,2356.0
73,Georgia,Augusta,660606.0,4713.0,4.0,4.0,0.28,1993,3079.0,No,No,1.0,2.0,4.0,Yes,1.37,2722.0
74,Texas,Austin,1522719.0,906.0,1.0,4.0,1.24,1970,3507.0,No,No,0.0,10.0,72.0,No,1.86,4403.0
75,New York,New York City,4192803.0,3375.0,4.0,3.0,4.42,2001,12412.0,Yes,Yes,2.0,4.0,10.0,Yes,1.0,
76,California,San Francisco,3352160.0,798.0,2.0,2.0,3.3,1990,14049.0,No,Yes,3.0,6.0,92.0,No,2.51,1167.0
77,Georgia,Atlanta,613077.0,1213.0,1.0,2.0,4.91,1964,2134.0,Yes,No,0.0,10.0,67.0,Yes,1.25,4543.0
78,California,Los Angeles,2270703.0,4025.0,1.0,2.0,4.79,1962,10508.0,No,Yes,3.0,6.0,59.0,No,2.52,5295.0
79,California,San Diego,2307331.0,1184.0,3.0,1.0,0.72,1969,5575.0,Yes,Yes,1.0,7.0,94.0,No,0.79,1038.0
80,New York,New York City,3988899.0,4023.0,3.0,1.0,4.47,1977,19468.0,No,Yes,2.0,6.0,84.0,No,2.73,6508.0
81,Illinois,Chicago,1430520.0,1287.0,3.0,4.0,1.75,1978,5358.0,No,No,0.0,4.0,6.0,Yes,0.51,5947.0
82,Illinois,Chicago,892664.0,3421.0,3.0,3.0,2.41,2012,2119.0,No,No,2.0,2.0,28.0,No,0.55,2002.0
83,California,Sacramento,538713.0,2756.0,3.0,2.0,1.49,1975,1256.0,Yes,Yes,3.0,9.0,76.0,No,2.56,4490.0
84,Illinois,Peoria,309788.0,1364.0,5.0,3.0,2.84,1972,1199.0,Yes,Yes,0.0,6.0,62.0,Yes,0.55,4152.0
85,Illinois,Naperville,1373036.0,2726.0,1.0,3.0,0.22,1966,6561.0,No,No,1.0,5.0,68.0,No,1.68,6984.0
86,Texas,Dallas,818620.0,755.0,4.0,1.0,2.26,1992,1934.0,Yes,Yes,0.0,3.0,92.0,Yes,1.59,5139.0
87,Arizona,Scottsdale,1716132.0,1497.0,5.0,4.0,1.19,1952,6596.0,Yes,Yes,2.0,,77.0,No,1.29,6088.0
88,Illinois,Springfield,543164.0,1425.0,,3.0,4.89,1970,2163.0,Yes,Yes,0.0,8.0,70.0,Yes,1.67,1898.0
89,Nevada,Carson City,573497.0,,3.0,4.0,1.94,1996,1812.0,No,No,0.0,8.0,22.0,Yes,1.75,6089.0
90,California,San Francisco,,3185.0,4.0,2.0,3.08,1990,4036.0,Yes,No,0.0,1.0,7.0,Yes,2.44,6125.0
91,Arizona,Phoenix,713148.0,2148.0,5.0,3.0,1.01,1993,2118.0,No,Yes,2.0,9.0,18.0,Yes,1.21,5037.0
92,Georgia,Atlanta,1126202.0,,1.0,1.0,1.76,1994,4158.0,No,Yes,2.0,10.0,41.0,Yes,2.31,1993.0
93,Texas,San Antonio,294020.0,833.0,4.0,3.0,2.24,1950,696.0,No,Yes,0.0,6.0,60.0,No,0.63,1637.0
94,Texas,Dallas,1209544.0,2007.0,1.0,3.0,0.13,1953,4101.0,Yes,No,2.0,4.0,70.0,Yes,2.17,4477.0
95,California,San Francisco,3824948.0,1623.0,3.0,1.0,3.22,2016,15747.0,No,No,0.0,6.0,83.0,No,1.47,5579.0
96,Arizona,Phoenix,1167235.0,4962.0,1.0,2.0,1.75,1975,5474.0,No,No,2.0,1.0,12.0,Yes,1.5,6589.0
97,Nevada,Reno,1047397.0,,3.0,4.0,2.81,2010,3130.0,Yes,Yes,3.0,1.0,87.0,No,2.31,4465.0
98,New York,New York City,,1998.0,2.0,3.0,2.92,1992,21774.0,No,No,3.0,8.0,78.0,Yes,0.83,6944.0
99,Georgia,Columbus,516571.0,1906.0,3.0,2.0,3.95,2019,,Yes,Yes,1.0,8.0,47.0,No,1.56,
100,Illinois,Springfield,306691.0,,5.0,4.0,2.28,1950,792.0,No,No,2.0,1.0,13.0,Yes,0.81,3709.0
101,New York,New York City,3455417.0,2828.0,5.0,1.0,4.6,2009,7489.0,No,No,2.0,2.0,73.0,No,0.9,5558.0
102,Texas,Dallas,768543.0,3897.0,5.0,2.0,1.96,1958,,No,No,0.0,5.0,52.0,No,1.33,6529.0
103,Illinois,Chicago,1058269.0,832.0,,4.0,2.8,2006,2809.0,Yes,Yes,3.0,,28.0,No,1.41,6645.0
104,Florida,Jacksonville,683971.0,1419.0,2.0,1.0,3.58,1961,1996.0,Yes,No,2.0,2.0,18.0,Yes,,4513.0
105,Illinois,Springfield,349534.0,3881.0,2.0,4.0,4.8,1958,899.0,Yes,Yes,3.0,4.0,42.0,No,2.18,6396.0
106,Texas,San Antonio,614810.0,710.0,2.0,3.0,4.42,1980,2367.0,Yes,No,3.0,10.0,13.0,Yes,2.55,2144.0
107,Florida,Orlando,504080.0,3639.0,1.0,1.0,0.17,2006,2254.0,No,Yes,1.0,6.0,42.0,Yes,0.76,6383.0
108,Texas,Houston,1079404.0,1963.0,,,2.83,2008,5030.0,Yes,No,3.0,7.0,2.0,Yes,2.53,4235.0
109,Georgia,Savannah,462078.0,4813.0,3.0,1.0,4.65,1990,1295.0,Yes,No,0.0,9.0,24.0,Yes,0.58,5336.0
110,Nevada,Reno,820141.0,2775.0,3.0,4.0,1.24,1980,3960.0,Yes,Yes,0.0,5.0,21.0,No,2.02,5969.0
111,Arizona,Scottsdale,716572.0,,5.0,3.0,0.91,2000,3374.0,No,Yes,3.0,4.0,67.0,Yes,,4511.0
112,Illinois,Peoria,483862.0,1520.0,5.0,2.0,3.29,1978,2099.0,No,No,3.0,5.0,9.0,Yes,2.2,1149.0
113,Texas,Dallas,1317261.0,2370.0,5.0,3.0,2.75,1976,2989.0,Yes,No,2.0,2.0,19.0,Yes,1.56,2845.0
114,Arizona,Scottsdale,,3368.0,2.0,4.0,0.48,1971,2415.0,No,No,2.0,4.0,40.0,No,2.65,2720.0
115,New York,Albany,313541.0,2580.0,4.0,1.0,4.89,1984,1087.0,Yes,No,0.0,,41.0,No,,3204.0
116,Arizona,Scottsdale,2121688.0,3483.0,4.0,2.0,0.18,1979,10063.0,Yes,Yes,1.0,6.0,81.0,No,0.82,2947.0
117,Georgia,Atlanta,,1388.0,5.0,2.0,0.16,1963,5251.0,Yes,No,2.0,7.0,70.0,Yes,1.67,5497.0
118,California,San Francisco,1852894.0,2023.0,1.0,1.0,1.96,1997,4861.0,Yes,Yes,0.0,1.0,33.0,Yes,2.86,6933.0
119,Illinois,Springfield,478812.0,4683.0,3.0,4.0,0.14,1975,1976.0,Yes,Yes,2.0,6.0,,No,2.09,3316.0
120,Texas,Houston,1126356.0,917.0,3.0,3.0,2.35,1997,2848.0,No,No,0.0,3.0,38.0,No,1.32,3445.0
121,Georgia,Columbus,587131.0,3484.0,5.0,2.0,0.61,2008,2448.0,Yes,No,1.0,9.0,42.0,No,2.52,2634.0
122,Arizona,Scottsdale,872988.0,870.0,5.0,2.0,3.72,1995,3787.0,No,No,3.0,4.0,63.0,Yes,2.9,
123,California,Los Angeles,1880327.0,4037.0,4.0,4.0,3.12,1964,6806.0,Yes,No,2.0,1.0,36.0,No,1.31,3685.0
124,California,San Francisco,2052409.0,4234.0,3.0,4.0,1.19,2000,4961.0,Yes,Yes,3.0,1.0,52.0,Yes,2.87,
125,Georgia,Augusta,681359.0,,3.0,2.0,0.75,1965,3175.0,No,No,2.0,2.0,21.0,No,2.79,2807.0
126,California,San Diego,1141127.0,1973.0,4.0,3.0,4.65,1984,3730.0,No,No,1.0,,49.0,Yes,1.49,3416.0
127,Nevada,Las Vegas,627800.0,2704.0,5.0,1.0,1.12,1997,1424.0,Yes,Yes,0.0,1.0,20.0,Yes,1.15,3999.0
128,Florida,Tampa,974668.0,1738.0,4.0,4.0,3.52,2019,2671.0,No,No,3.0,,97.0,Yes,1.03,3429.0
129,Florida,Jacksonville,593901.0,1235.0,3.0,2.0,1.59,1999,2704.0,No,No,3.0,9.0,58.0,No,1.64,1479.0
130,Nevada,Carson City,,2614.0,3.0,1.0,0.88,1958,1052.0,Yes,Yes,2.0,3.0,56.0,Yes,0.57,4072.0
131,New York,Rochester,282721.0,1487.0,5.0,1.0,4.44,1991,1306.0,No,Yes,3.0,7.0,28.0,No,2.38,
132,Florida,Tampa,1111538.0,3181.0,5.0,4.0,4.24,1950,3018.0,Yes,Yes,0.0,8.0,1.0,Yes,2.07,2010.0
133,Illinois,Peoria,389352.0,2490.0,1.0,3.0,0.73,1950,,No,Yes,3.0,10.0,25.0,Yes,,4940.0
134,California,Sacramento,876590.0,3135.0,4.0,4.0,0.14,2001,2063.0,Yes,No,0.0,7.0,62.0,No,2.13,3262.0
135,Georgia,Atlanta,1292367.0,4530.0,4.0,4.0,3.27,1977,3449.0,Yes,No,2.0,,33.0,No,2.06,5734.0
136,New York,Rochester,520409.0,,3.0,3.0,3.79,2002,1630.0,No,Yes,,6.0,77.0,No,2.86,5532.0
137,New York,Albany,537563.0,1134.0,2.0,3.0,3.83,2008,1342.0,Yes,No,2.0,10.0,85.0,No,0.68,2882.0
138,California,Los Angeles,1588845.0,1625.0,1.0,2.0,4.67,1962,4177.0,Yes,Yes,0.0,4.0,13.0,No,1.38,5951.0
139,Florida,Miami,959300.0,2491.0,5.0,3.0,4.46,1996,,Yes,No,0.0,2.0,12.0,Yes,2.67,4666.0
140,Nevada,Carson City,917777.0,,4.0,3.0,1.18,1970,3435.0,No,Yes,3.0,9.0,67.0,No,1.23,2203.0
141,Florida,Orlando,404560.0,1753.0,4.0,2.0,3.71,1998,1171.0,No,No,0.0,6.0,27.0,Yes,,5157.0
142,Nevada,Reno,1054266.0,2551.0,4.0,1.0,2.86,2000,4890.0,No,Yes,3.0,5.0,51.0,No,1.61,5181.0
143,Georgia,Columbus,677735.0,4414.0,3.0,1.0,4.4,1983,2447.0,Yes,Yes,0.0,4.0,31.0,No,1.18,2215.0
144,New York,New York City,3603939.0,4328.0,4.0,4.0,3.64,1952,17695.0,No,No,2.0,7.0,53.0,Yes,0.78,
145,New York,Buffalo,301558.0,4658.0,2.0,3.0,1.71,1993,841.0,Yes,Yes,2.0,1.0,59.0,Yes,1.19,5706.0
146,Nevada,Reno,946088.0,2173.0,4.0,3.0,2.99,2009,3029.0,No,No,3.0,7.0,13.0,Yes,2.26,4969.0
147,Georgia,Columbus,,1376.0,3.0,1.0,2.06,1997,991.0,Yes,No,1.0,5.0,72.0,No,0.51,1857.0
148,California,San Diego,2970539.0,664.0,4.0,,4.67,1960,9934.0,No,Yes,,5.0,32.0,Yes,1.34,2346.0
149,Arizona,Tucson,463508.0,2887.0,4.0,1.0,4.27,2012,1270.0,No,Yes,0.0,,4.0,Yes,1.51,3563.0
150,Arizona,Scottsdale,2233443.0,4076.0,1.0,1.0,1.52,2010,9950.0,Yes,Yes,1.0,9.0,64.0,No,0.59,3202.0
151,Arizona,Mesa,775542.0,2635.0,1.0,1.0,2.38,2022,1853.0,Yes,Yes,1.0,7.0,78.0,Yes,1.12,4883.0
152,Texas,San Antonio,559920.0,2390.0,1.0,4.0,2.88,1968,1557.0,Yes,Yes,1.0,3.0,76.0,Yes,2.33,4690.0
153,Illinois,Naperville,1795850.0,2101.0,2.0,4.0,1.58,2014,6445.0,No,Yes,0.0,3.0,,Yes,,
154,California,San Francisco,3245700.0,3316.0,4.0,4.0,0.21,2015,9371.0,Yes,No,1.0,3.0,65.0,Yes,2.11,5385.0
155,Illinois,Springfield,,2351.0,5.0,1.0,1.88,2002,1535.0,Yes,Yes,1.0,6.0,99.0,No,2.45,5400.0
156,Illinois,Chicago,878705.0,2778.0,5.0,3.0,4.03,1968,3996.0,Yes,No,3.0,1.0,78.0,No,2.13,4337.0
157,Illinois,Chicago,994103.0,4129.0,5.0,2.0,2.4,1951,3707.0,Yes,Yes,2.0,7.0,82.0,Yes,2.5,4620.0
158,Illinois,Naperville,1641822.0,3615.0,5.0,4.0,2.26,1981,3431.0,Yes,Yes,2.0,6.0,86.0,Yes,2.17,2520.0
159,Georgia,Augusta,754278.0,,2.0,2.0,3.26,1951,3606.0,No,No,1.0,3.0,40.0,No,0.52,2504.0
160,Texas,Austin,1073320.0,3099.0,5.0,,2.74,1995,2409.0,No,Yes,3.0,7.0,45.0,Yes,2.84,1501.0
161,Florida,Miami,1083861.0,2051.0,1.0,2.0,2.66,1972,3075.0,Yes,Yes,1.0,9.0,46.0,No,,2072.0
162,Illinois,Peoria,604847.0,1742.0,3.0,1.0,3.11,1977,2558.0,No,No,,2.0,29.0,No,2.97,6025.0
163,Nevada,Carson City,549935.0,1721.0,5.0,2.0,2.18,1990,2091.0,No,No,0.0,,85.0,No,0.79,2422.0
164,Georgia,Atlanta,882207.0,1906.0,1.0,2.0,4.05,2000,2359.0,Yes,Yes,2.0,1.0,79.0,Yes,1.81,1769.0
165,New York,Buffalo,486545.0,4831.0,,,1.37,1957,2052.0,No,Yes,0.0,6.0,41.0,No,0.62,3584.0
166,Arizona,Scottsdale,684432.0,851.0,4.0,3.0,2.07,1987,3223.0,Yes,Yes,2.0,3.0,34.0,Yes,1.62,3490.0
167,New York,New York City,2024595.0,4617.0,3.0,,4.39,1983,4451.0,Yes,Yes,2.0,2.0,64.0,Yes,,5074.0
168,Florida,Tampa,947726.0,,3.0,,0.64,1968,,No,No,0.0,7.0,14.0,Yes,2.92,6963.0
169,Georgia,Savannah,318672.0,3940.0,1.0,1.0,1.56,1983,1113.0,No,No,2.0,3.0,33.0,Yes,2.01,4267.0
170,Georgia,Savannah,375416.0,4880.0,5.0,3.0,1.58,1980,1087.0,Yes,Yes,3.0,2.0,85.0,No,1.31,5528.0
171,California,San Francisco,,4530.0,5.0,3.0,2.93,1974,16373.0,Yes,Yes,3.0,3.0,82.0,No,1.06,4759.0
172,Texas,Austin,1123522.0,4782.0,4.0,3.0,0.74,1959,4798.0,Yes,Yes,1.0,10.0,24.0,Yes,1.55,3490.0
173,Nevada,Las Vegas,417289.0,3760.0,5.0,1.0,3.94,2019,1099.0,Yes,No,2.0,7.0,80.0,Yes,2.71,4602.0
174,California,San Francisco,2831279.0,623.0,1.0,2.0,4.01,1972,7132.0,Yes,No,2.0,,23.0,Yes,2.95,6981.0
175,Georgia,Savannah,418596.0,4116.0,4.0,4.0,1.94,1973,1283.0,No,No,3.0,9.0,5.0,No,2.39,1748.0
176,New York,New York City,2044642.0,2743.0,1.0,4.0,1.11,2017,6122.0,Yes,Yes,0.0,5.0,80.0,Yes,2.5,1005.0
177,Georgia,Atlanta,1115969.0,3840.0,4.0,2.0,1.56,1993,5534.0,No,Yes,2.0,9.0,54.0,No,,
178,Texas,San Antonio,652325.0,2722.0,5.0,3.0,0.18,1955,1657.0,Yes,No,1.0,9.0,91.0,No,0.57,1834.0
179,New York,Albany,687991.0,,1.0,1.0,4.74,1966,2442.0,No,No,2.0,4.0,8.0,No,1.09,3354.0
180,California,Los Angeles,1945557.0,,1.0,4.0,4.42,1964,7228.0,No,Yes,1.0,6.0,89.0,Yes,1.2,4345.0
181,Texas,San Antonio,656861.0,4812.0,1.0,3.0,2.05,1954,3183.0,No,No,1.0,4.0,47.0,Yes,1.13,3382.0
182,California,Sacramento,471467.0,4145.0,2.0,4.0,3.02,2008,2086.0,No,No,0.0,5.0,35.0,No,2.32,4913.0
183,Florida,Miami,1064483.0,857.0,1.0,,3.37,1966,3292.0,Yes,Yes,1.0,7.0,41.0,Yes,1.76,
184,Arizona,Scottsdale,1471762.0,1066.0,,3.0,0.54,2015,,Yes,No,2.0,5.0,72.0,No,2.48,
185,Arizona,Scottsdale,1089102.0,3835.0,3.0,2.0,4.34,1983,2911.0,No,No,2.0,,10.0,Yes,1.05,5100.0
186,Arizona,Scottsdale,748260.0,2498.0,4.0,3.0,0.93,1965,1873.0,No,No,1.0,1.0,14.0,Yes,1.66,1712.0
187,Georgia,Savannah,660743.0,3368.0,5.0,3.0,3.66,1983,2517.0,Yes,Yes,2.0,,21.0,Yes,1.06,3169.0
188,Illinois,Chicago,1070207.0,605.0,2.0,1.0,0.32,1996,3393.0,Yes,No,1.0,2.0,1.0,Yes,2.89,2742.0
189,Arizona,Tucson,937672.0,1525.0,3.0,2.0,0.16,2001,4361.0,Yes,No,0.0,1.0,75.0,No,1.85,
190,New York,Rochester,505585.0,4219.0,4.0,2.0,2.34,1979,1808.0,No,Yes,1.0,7.0,73.0,Yes,2.63,
191,California,San Francisco,5085364.0,773.0,3.0,3.0,3.54,1996,,Yes,No,1.0,8.0,62.0,Yes,2.88,6090.0
192,Arizona,Phoenix,887417.0,4667.0,5.0,3.0,0.59,1960,4030.0,Yes,No,2.0,8.0,29.0,No,2.73,4479.0
193,Arizona,Phoenix,600293.0,2437.0,1.0,4.0,2.58,2007,1264.0,Yes,Yes,3.0,,50.0,Yes,2.27,6327.0
194,New York,Albany,539867.0,4613.0,4.0,4.0,2.29,1991,2211.0,No,No,2.0,7.0,77.0,No,2.47,5365.0
195,Georgia,Columbus,636097.0,887.0,5.0,1.0,3.5,1996,1866.0,No,No,3.0,1.0,41.0,No,2.73,4474.0
196,Florida,Jacksonville,684918.0,2324.0,3.0,2.0,2.01,1971,1619.0,No,No,2.0,4.0,84.0,Yes,2.59,2675.0
197,California,Sacramento,454841.0,,2.0,1.0,0.99,1990,1679.0,Yes,No,2.0,,92.0,No,2.62,3172.0
198,Nevada,Las Vegas,930310.0,686.0,5.0,3.0,3.7,1957,3533.0,No,No,1.0,8.0,72.0,Yes,0.91,1871.0
